tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,text,tweet_coord,tweet_created,tweet_location,user_timezone
570306133677760513,neutral,1.0,Unknown,1.0,Virgin America,negative,cairdin,Customer Service Issue,@VirginAmerica What @dhepburn said.,"[0.0, 0.0]",2015-02-24 11:35:52-08:00,Unknown,Eastern Time (US & Canada)
570301130888122368,positive,0.3486,Unknown,0.0,Virgin America,negative,jnardino,Customer Service Issue,@VirginAmerica plus you've added commercials to the experience... tacky.,"[0.0, 0.0]",2015-02-24 11:15:59-08:00,Unknown,Pacific Time (US & Canada)
570301083672813571,neutral,0.6837,Unknown,1.0,Virgin America,negative,yvonnalynn,Customer Service Issue,@VirginAmerica I didn't today... Must mean I need to take another trip!,"[0.0, 0.0]",2015-02-24 11:15:48-08:00,Lets Play,Central Time (US & Canada)
570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,negative,jnardino,Customer Service Issue,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse","[0.0, 0.0]",2015-02-24 11:15:36-08:00,Unknown,Pacific Time (US & Canada)
570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,negative,jnardino,Customer Service Issue,@VirginAmerica and it's a really big bad thing about it,"[0.0, 0.0]",2015-02-24 11:14:45-08:00,Unknown,Pacific Time (US & Canada)
570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,negative,jnardino,Customer Service Issue,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA","[0.0, 0.0]",2015-02-24 11:14:33-08:00,Unknown,Pacific Time (US & Canada)
570300616901320704,positive,0.6745,Unknown,0.0,Virgin America,negative,cjmcginnis,Customer Service Issue,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)","[0.0, 0.0]",2015-02-24 11:13:57-08:00,San Francisco CA,Pacific Time (US & Canada)
570300248553349120,neutral,0.634,Unknown,1.0,Virgin America,negative,pilot,Customer Service Issue,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP","[0.0, 0.0]",2015-02-24 11:12:29-08:00,Los Angeles,Pacific Time (US & Canada)
570299953286942721,positive,0.6559,Unknown,1.0,Virgin America,negative,dhepburn,Customer Service Issue,"@virginamerica Well, I didn't…but NOW I DO! :-D","[0.0, 0.0]",2015-02-24 11:11:19-08:00,San Diego,Pacific Time (US & Canada)
570295459631263746,positive,1.0,Unknown,1.0,Virgin America,negative,YupitsTate,Customer Service Issue,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.","[0.0, 0.0]",2015-02-24 10:53:27-08:00,Los Angeles,Eastern Time (US & Canada)
570294189143031808,neutral,0.6769,Unknown,0.0,Virgin America,negative,idk_but_youtube,Customer Service Issue,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,"[0.0, 0.0]",2015-02-24 10:48:24-08:00,1/1 loner squad,Eastern Time (US & Canada)
570289724453216256,positive,1.0,Unknown,1.0,Virgin America,negative,HyperCamiLax,Customer Service Issue,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,"[0.0, 0.0]",2015-02-24 10:30:40-08:00,NYC,America/New_York
